index,year,count,sentiment,song,singer,line
0,1992,0,4,4,4,4
1,1993,1,2,Happy People,Prince Ital Joe,Mr. Bill Clinton and the bird Hillary / Wrap up the war on the brutality
2,1993,2,2,Girls Got a Gun,Yo-Yo,Fuck Bill Clinton and Hillary
3,1994,1,2,Dark Night of the Blood Spiller,Chino XL,Getting my dick sucked / On the cover of Source magazine by Hillary Clinton
4,1994,2,2,Hand of the Dead Body,Ice Cube,"And I can't stop, won't stop / So fuck Bill and Hillary"
5,1996,1,0,Shit Iz Real,Shyheim,Where ya at? Cats sacking green/ Bill/Hill Clinton
6,1996,2,2,The Ghetto Won't Change,Master P,"Every dollar I make, ten go back to Hillary and Bill, I guess life is real"
7,1997,1,0,What's Goin' On,Gravediggaz,"Killa Bee, presidential suite, Bill and Hillary"
8,1997,2,0,Bring It Back,KRS-ONE,It Takes a Village like Hillary
9,1998,1,0,Fresh,Slick Rick,Babies jump out the carriage / Could even fix the Hillary and Clinton marriage
10,1998,2,2,Cradle Rock,Method Man,Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary
11,1999,1,0,What the Fuck Is Up?,Scarlett,"Wanna diss me, cuz I cut you down quickly / I'm Hillary to this shit, you still fuckin with Lewinsky"
12,1999,2,0,NYMP,Jay Z,"I take and rape villages, who gon' stop him? / Not Rudy Guiliani, not Hillary Rodham"
13,1999,3,2,Role Model,Eminem,Hillary Clinton tried to slap me and call me a pervert / I ripped her fucking tonsils out and fed her sherbet (bitch!)
14,2000,1,0,U Ain't Fresh,KAM,"Like Bill ass Hillary, ""what's up?"" / Still love me, pretty young thang?"
15,2000,2,0,We Live This,Roxanne ShantМ©,"Roxanne ShantМ©, Hilary Clinton / Lay out the red carpet y'all hoes shut up and listen"
16,2000,3,1,Gotta Be Insanity,Ice Cube,Would you stay down like Hillary? / Even if you thought about killin' me?
17,2001,1,0,Again (Stankonia Remix),Big Boi,"Thinkin the Hillary Clinton, not to mention, and she got yo baby"
18,2001,2,0,Nunca,Chino XL,"I'll shoot out with Bill & Hillary, still won't run out of artillery"
19,2001,3,2,Fukinwichu,Cunninlynguists,Send Hillary the Bill and Lewinski scene in claymation
20,2002,1,2,Hit It for Free,Field Mob,I'm like Farakahn being best friends with porky pig / Or like Hillary Clinton dikin' with Lewinsky
21,2003,1,0,Poizon Windz,Monsta Island Czars,"Head essential lightning agency throats, thinkin of Hilary Clinton"
22,2004,1,0,Yzark,Proof,While Clinton got head I was in the sack with old Hillary
23,2004,2,2,American History X,Ill Bill,"I eat politicians for breakfast / Till infinity it's endless / Bill and Hillary, George Bush, everybody's gettin it"
24,2005,1,0,Set Me Free,Crunch Lo,"I'm so sex, and my Bonnie, my mami, my Hillary Rod"
25,2005,2,0,Grillz,Ali,Got a bill in my mouth like I'm Hillary Rodham
26,2007,1,0,Money Man,Gorilla Zoe,"Keep dat white girl Hillary, a pound of Bill Clinton"
27,2007,2,1,Single Again (Remix),Trina,Like Hillary Clinton / I'm the boss
28,2007,3,1,No Sunshine,Rhymefest,Until we all fuckin' with bills/Bill's like Hillary Rodham
29,2007,4,1,White Girl (Remix),Rick Ross,"Hilary Clinton, she my best friend / Even co-signed for that new white Benz"
30,2008,1,0,Letter to the King,The Game,If Dr. King marched today would Bill Gates march / I know Obama would but would Hilary take part
31,2008,2,0,Energy,Big Boi,Energy like Bill and Hillary Clinton
32,2008,3,0,Holla at a Playa (Remix),Jae Millz,"Straight Osam 'em, treat 'em like Hillary"
33,2008,4,0,I Luv Your Girl (Remix),Jeezy,"It goes Hillary Clinton, Barack Obama"
34,2008,5,0,Lollipop,Lil Wayne,"And when I'm at the bottom, she Hillary Rodham"
35,2008,6,0,Vietnam,Mickey Factz,Nothing against Hilary Clinton / But Obama's about to be winning
36,2008,7,0,I'm Me Freestyle,"Royce Da 5'9""","This industry is Hillary Clinton literally, listen / You ain't got no choice now"
37,2008,8,2,Pressure,Killer Mike,Or you a dirty n---- working for a fucking Clinton / Or you dirty n---- working for a fucking Bush
38,2008,9,2,Smilin' Faces,Kutt Calhoun,Look at Hillary Clinton when she speak / Looking like the devil with a grin
39,2008,10,2,Unapologetic,Charles Hamilton,"You more like Hillary / Only in it cuz you used to fuck the ex leader, n----"
40,2008,11,2,Let's Stay Together,Ludacris,"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it"
41,2008,12,2,Politics as Usual (Obama Is Here),Ludacris,Hillary hated on you so that {censored} bitch is irrelevant
42,2008,13,2,A Milli,Fabolous,"Hillary, Bill Clin--Fuck it. They don't get it"
43,2008,14,2,Shoot Me a Fair One,Papoose,"More like Obama versus Hillary, nothing / A intelligent black man against a woman"
44,2008,15,2,Fall Down Brew,R.A. the Rugged Man,"Sewed Hillary Clinton's mouth, and that's after drinkin just one"
45,2008,16,2,Stand Tall,Ice Cube,Never put your trust in Hillary Rodham / Cause I can tell you now it's gon' turn out rotten
46,2008,17,2,Gang Love,T.H.U.G. Angelz,It's like we paying them rent to live inside a prison / Hilary Clinton is benefiting them politicians
47,2009,1,0,What If,Nas,What if Hilary and them was Reptilian? / And 2012 was the end of men and all world civilians?
48,2009,2,0,Dope Boy,Gorilla Zoe,"Hey Ms. Hilary, can't be kin to me (No) / But I keep that white bitch on another level G"
49,2009,3,0,Krazy,Pitbull,Obama with no color / Hillary with no Bill
50,2009,4,1,Make U Feel Alright,Jay Da Menace,"Got'chu feelin me the way that Jada feelin Will / And Hillary feelin Bill, a chick that gon' keep it real - f'real"
51,2009,5,2,RNQ,Rhymefest,"Hillary, Jesse Jack, even Barack's involved / When police beatin' our ass, none of y'all do a damn thang"
52,2010,1,0,Every Girl,Gudda Gudda,"And Hillary can Rodham too, boy, I gets my pimpin' on"
53,2010,2,1,Bad Bad Bad,Gucci Mane,Stay down like Hillary and I can be your Billy
54,2010,3,1,Whatever You Want,Big Sean,Leading lady like Hillary grabbing big Bills
55,2010,4,1,Bitch I'm Bill Clinton,Lil B,"Shout-outs to Hillary Clinton, you gonna win that presidency"
56,2010,5,2,Opening Day,E-dubble,"Specially when you throwin' like Hillary Rodham / Problem, from top to bottom"
57,2011,1,0,My Heart,Jae Tips,Michelle to my Obama / You Hilary my Clinton
58,2011,2,0,A Thing for Me,G-Eazy,"Liberally, accepting Monicas but missing Hillary"
59,2011,3,1,Male Feminist,Mazeman,"Hilary Clinton, yeah she's winning"
60,2011,4,2,Nightmares of the Bottom (Triggamix),Trey Songz,She think she's my bottom bitch; Hillary Rodham-ish
61,2012,1,0,Take Notice,Sheek Louch,"Hillary said I frighten her / Alarm go off, choking off the teeth whitener"
62,2012,2,0,Disgusting,Logic,However on the light of note I stayed with bills like Hilary
63,2012,3,0,We Can Get It On,Yo Gotti,"We like Hova and B / Maybe Hillary, Bill"
64,2012,4,0,"Bitch, Don't Kill My Vibe (Remix)",Jay Z,Sittin' next to Hillary smellin' like dank
65,2012,5,0,PSA,Pryde,But they only like me for my bill like they're Hillary
66,2012,6,0,Now That I'm Paid,Rick Ross,Whip it in the kitchen before Hillary became a Clinton
67,2012,7,0,Badman in Tivoli,Skepta,Black Bill Clinton linking Monica and Hillary
68,2012,8,1,Born to Ball,Skeme,But I'm all about my bills / Grind stay Hillary Rodham
69,2012,9,2,No Church in the Wild Freestyle,Angel Haze,"We goverend by fucking animals hello Mr. Obama, Comma Mrs. Obama comma future elections, hello Hillary Rodham"
70,2012,10,2,Gossip Folks,Angel Haze,‰ЫчCause I was alone at the bottom / Kept getting played like Hilary Rodham
71,2012,11,2,Fuck the Government,Mediumjay,"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch"
72,2013,1,0,Nothing on My Mind,AllDay,Young buck but I never suck call me Hillary
73,2013,2,0,Greasy,Gucci Mane,What you're Hillary Rodham bitch?
74,2013,3,0,Mayor Bloomberg: Who's Really in Control?,Jasiri X,2016 that's right Hillary I'll show you what a Billie means
75,2013,4,0,Little This Little That,Naj Murph,I need a Hillary so let me know if you fit the bill; when we chill
76,2013,5,0,Smells Like,R.A. The Rugged Man,"Hillary Clinton can get her clit done with my big tounge / Have the bitch strung, once me dick swung, her lip drip cum"
77,2013,6,0,I Shoulda Tried Harder,Wax,"Bill Clinton, Hillary Clinton, I ain't talking to ya'll, nope"
78,2013,7,2,Thugz Tear Dropz,Young Noble,Until we really saw the true problem / Even Hilary couldn't rob him
79,2013,8,2,Shorty Baby,Bas,Makin me call Lewinski / You fuckin up like Hilary did
80,2014,1,0,For Real,Yung God,"Bang, Heavy artillery young Bill Clint / Make your girl go Hillary boy"
81,2014,2,0,R.I.P.,King Kold,Was content with that basic shit / My Hillary Clinton
82,2014,3,1,TimeZone,Saba,Y'all ain't near and dear to me like William and Hillary
83,2014,4,1,One,Corny,"Blowing up like some artillery, Bills coming to me like Hillary"
84,2015,1,0,Twisted Thoughts,ISO,"Couldn't pay my bills, where the fuck is Hillary?"
85,2015,2,0,Sky Lanterns,Social Club,Hillary Jane over Hilary Rodham
86,2015,3,1,Where They Do That At,Yo Gotti,All I know is white girl I call her Hillary cause that bitch got power plus she so considerate
87,2015,4,1,Life So Hard,Migos,Make a basic bitch feel like Hillary Clinton
88,2015,5,1,Back Together,Nicki Minaj,Used to call me Hillary cause I ride 'em
89,2015,6,2,Sway in the Morning Freestyle,Eminem,"But Hilllary, I promise to wipe my server clean if you face subpoenas"
90,2016,1,0,Tec in the Church,Joyner Lucas,"Hillary Clinton ain't gon' like this, she's fanning next to a serpent"
91,2016,2,0,Datpiff (freeverse series Ep. 4),Chris Webby,"The planet is collapsing, economies are crashin' / And Hillary Clinton is dabbin'"
92,2016,3,1,Rich the GOAT,Rich The Kid,"Hillary hit the dab, Ima vote"
93,2017,0,4,4,4,4
